tweet,sentiment
شەڕەفوو کەرامەتی ئەم ئاڵایە و ئەم گەل تان برد ڕیسواتان کرد لە هەموو دونیا هاوڕەگەز بازیتان کردە سمبولی ئەم گەلە بەشکۆو بەحیرس و بەنرخە، بەنەفرەت بن لەگەڵ پاڵپشتەکانتان و مەسینەت گران,positive
ڕۆحیان شاد ،خودای گە ورە سە بووری خانە وادە کانیان بدات,positive
سلاوی خودا لەتۆش بێت خودا خۆشیت بێنێتە ڕێگات,positive
زۆر خۆشحاڵ ئەبین کاک سیا بەڵێ بە کوردی قسە ئەکرێت,positive
ناوێرم یەک تویت بکەم بەدڵی خۆم خوشکەکانم ڕێک دەچن بە داکم دەڵێن,positive
زۆر زۆر خۆشحاڵم کە ئەتبینمەوە هاوڕێ تیما دیاری نیە هەرچی گەڕام نەمدۆزیەوە مێنشێنی بۆ دابنێم,positive
عەشقی یەکەم زۆر جوانترە لەهەموو عەشقەکان واتەیەکەم هەرلەدڵت دەرناچێت.,positive
ههههه وەڵای خۆشم لەو کاتەوە پچڕاوم پێی,positive
سلاو لە تۆی گولیش بیت ڕۆژت پر بیت لە ئارامی و ئاسودە,positive
زۆر سوپاس گوڵە چاگیان نوخشە بێت لە ئێوەش,positive
هەر ئەو کاتانە خۆش بوو کە ئەم شێرە ئەکتیڤبوو,positive
خوای گەورە سەرکەوتووت بکا.. گەنجی ئێستا بەخۆشمەوە زۆر خەمساردین لەبەرەوپێش بردنی خۆمان لە دینداری و زانستی شەرعدا… دووعای بەردەوامی بۆتۆ و هیدایەتیش بۆخۆمان دەکەم… خودای گەورە پاداشتت بداتەوە براکەم,positive
پیرۆزە سۆزە خان سەرکەوتوو بیت ..,positive
خودێ بومە سەهل کەت ان شاء الله,positive
شەریکم ڕێک جنێوم حازر کردبوو بۆی,positive
زۆر سپاس بەرێزن دەستی تۆش خۆشبێ,positive
"کاکا موسڵمانان سەلامەتن و هێرش ناکەنە سەر کەس، ئەوروپا و ڕۆژئاوا درۆ دەکەن، ئەم مۆندیالەش باشترین مۆندیالە کە لە ژیانمدا بینیبێتم. ""ئەم مۆندیالە دۆڕانی ڕۆژئاواو هەڵماڵینی کارەساختەکاریەکانیانە"" هەر لە مناڵیەوە خۆشمەوێ",positive
